Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Discovery_Year
Kepler-204c,,0.16,25.660593,0.173,,transit,2280.0,0.96,5812.0,2014
Kepler-205b,,0.135,2.75564,0.032,,transit,523.4,,4321.0,2014
Kepler-205c,,0.146,20.306546,0.122,,transit,523.4,,4321.0,2014
Kepler-206b,,0.107,7.781987,0.078,,transit,1972.0,0.94,5764.0,2014
Kepler-206c,,0.158,13.137471,0.111,,transit,1972.0,0.94,5764.0,2014
Kepler-206d,,0.106,23.44281,0.163,,transit,1972.0,0.94,5764.0,2014
Kepler-207b,,0.14,1.611865,0.029,,transit,2920.0,,5920.0,2014
Kepler-207c,,0.134,3.071571,0.044,,transit,2920.0,,5920.0,2014
Kepler-207d,,0.295,5.868075,0.068,,transit,2920.0,,5920.0,2014
Kepler-208b,,0.145,4.22864,0.054,,transit,2580.0,1.03,6092.0,2014
Kepler-208c,,0.124,7.466623,0.079,,transit,2580.0,1.03,6092.0,2014
Kepler-208d,,0.107,11.131786,0.103,,transit,2580.0,1.03,6092.0,2014
Kepler-208e,,0.132,16.259458,0.132,,transit,2580.0,1.03,6092.0,2014
Kepler-209b,,0.202,16.087845,0.122,,transit,1913.0,,5513.0,2014
Kepler-209c,,0.277,41.749882,0.231,,transit,1913.0,,5513.0,2014
Kepler-210b,,0.262,2.453234,0.032,,transit,764.0,,4559.0,2014
Kepler-210c,,0.323,7.972513,0.07,,transit,764.0,,4559.0,2014
Kepler-211b,,0.112,4.138575,0.048,,transit,1018.0,0.97,5123.0,2014
Kepler-211c,,0.115,6.04045,0.062,,transit,1018.0,0.97,5123.0,2014
Kepler-212b,,0.097,16.257582,0.133,,transit,2280.0,1.16,5852.0,2014
Kepler-212c,,0.244,31.805174,0.207,,transit,2280.0,1.16,5852.0,2014
Kepler-213b,,0.145,2.46236,0.036,,transit,2100.0,0.94,5696.0,2014
Kepler-213c,,0.209,4.822962,0.057,,transit,2100.0,0.94,5696.0,2014
Kepler-214b,,0.233,15.660544,0.13,,transit,4080.0,,6169.0,2014
Kepler-214c,,0.19,28.7798,0.194,,transit,4080.0,,6169.0,2014
Kepler-215b,,0.145,9.360672,0.084,,transit,1607.0,0.77,5739.0,2014
Kepler-215c,,0.158,14.667108,0.113,,transit,1607.0,0.77,5739.0,2014
Kepler-215d,,0.213,30.864423,0.185,,transit,1607.0,0.77,5739.0,2014
Kepler-215e,,0.156,68.16101,0.314,,transit,1607.0,0.77,5739.0,2014
Kepler-216b,,0.21,7.693641,0.079,,transit,4000.0,,6091.0,2014
Kepler-216c,,0.271,17.406669,0.136,,transit,4000.0,,6091.0,2014
Kepler-217b,,0.199,5.374943,0.065,,transit,3720.0,,6171.0,2014
Kepler-217c,,0.165,8.586004,0.089,,transit,3720.0,,6171.0,2014
Kepler-218b,,0.132,3.619337,0.046,,transit,2180.0,,5502.0,2014
Kepler-218c,,0.28,44.699576,0.248,,transit,2180.0,,5502.0,2014
Kepler-219b,,0.263,4.585512,0.057,,transit,2620.0,,5786.0,2014
Kepler-219c,,0.319,22.714613,0.165,,transit,2620.0,,5786.0,2014
Kepler-219d,,0.251,47.903645,0.272,,transit,2620.0,,5786.0,2014
Kepler-220b,,0.072,4.159807,0.046,,transit,560.0,,4632.0,2014
Kepler-220c,,0.14,9.034199,0.076,,transit,560.0,,4632.0,2014
Kepler-220d,,0.087,28.122397,0.163,,transit,560.0,,4632.0,2014
Kepler-220e,,0.119,45.902733,0.226,,transit,560.0,,4632.0,2014
Kepler-221b,,0.153,2.795906,0.037,,transit,1270.0,0.72,5243.0,2014
Kepler-221c,,0.261,5.690586,0.059,,transit,1270.0,0.72,5243.0,2014
Kepler-221d,,0.244,10.04156,0.087,,transit,1270.0,0.72,5243.0,2014
Kepler-221e,,0.235,18.369917,0.13,,transit,1270.0,0.72,5243.0,2014
Kepler-222b,,0.282,3.936981,0.048,,transit,2520.0,,5433.0,2014
Kepler-222c,,0.414,10.08881,0.091,,transit,2520.0,,5433.0,2014
Kepler-222d,,0.329,28.081912,0.18,,transit,2520.0,,5433.0,2014
Kepler-223b,0.02328,0.267,7.38449,,,transit,6400.0,1.12,,2014
Kepler-223c,0.01605,0.307,9.84564,,,transit,6400.0,1.12,,2014
Kepler-223d,0.02517,0.467,14.78869,,,transit,6400.0,1.12,,2014
Kepler-223e,0.0151,0.41,19.72567,,,transit,6400.0,1.12,,2014
Kepler-224b,,0.124,3.132924,0.038,,transit,2600.0,0.74,5018.0,2014
Kepler-224c,,0.278,5.925003,0.058,,transit,2600.0,0.74,5018.0,2014
Kepler-224d,,0.205,11.349393,0.089,,transit,2600.0,0.74,5018.0,2014
Kepler-224e,,0.176,18.643577,0.124,,transit,2600.0,0.74,5018.0,2014
Kepler-225b,,0.107,6.738975,0.056,,transit,1850.0,,3682.0,2014
Kepler-225c,,0.164,18.794234,0.111,,transit,1850.0,,3682.0,2014
Kepler-226b,,0.138,3.940997,0.047,,transit,3280.0,0.86,5571.0,2014
Kepler-226c,,0.203,5.349555,0.058,,transit,3280.0,0.86,5571.0,2014
Kepler-226d,,0.109,8.109044,0.076,,transit,3280.0,0.86,5571.0,2014
Kepler-227b,,0.277,9.488015,0.09,,transit,3640.0,,5854.0,2014
Kepler-227c,,0.271,54.418694,0.29,,transit,3640.0,,5854.0,2014
Kepler-228b,,0.136,2.566546,0.038,,transit,5600.0,,6043.0,2014
Kepler-228c,,0.241,4.134444,0.052,,transit,5600.0,,6043.0,2014
Kepler-228d,,0.36,11.094286,0.101,,transit,5600.0,,6043.0,2014
Kepler-229b,,0.196,6.252972,0.062,,transit,2750.0,,5120.0,2014
Kepler-229c,,0.439,16.068638,0.117,,transit,2750.0,,5120.0,2014
Kepler-229d,,0.343,41.194912,0.22,,transit,2750.0,,5120.0,2014
Kepler-230b,,0.38,32.625555,0.191,,transit,2460.0,,5588.0,2014
Kepler-230c,,0.182,91.773242,0.38,,transit,2460.0,,5588.0,2014
Kepler-231b,,0.154,10.065275,0.074,,transit,988.0,0.58,3767.0,2014
Kepler-231c,,0.172,19.271566,0.114,,transit,988.0,0.58,3767.0,2014
Kepler-232b,,0.275,4.431222,0.054,,transit,4570.0,,5847.0,2014
Kepler-232c,,0.342,11.379349,0.101,,transit,4570.0,,5847.0,2014
Kepler-233b,,0.217,8.472382,0.077,,transit,2860.0,,5360.0,2014
Kepler-233c,,0.242,60.418955,0.287,,transit,2860.0,,5360.0,2014
Kepler-234b,,0.33,2.711506,0.04,,transit,5900.0,,6224.0,2014
Kepler-234c,,0.313,7.21205,0.077,,transit,5900.0,,6224.0,2014
Kepler-235b,,0.199,3.340222,0.037,,transit,1410.0,0.59,4255.0,2014
Kepler-235c,,0.114,7.824904,0.065,,transit,1410.0,0.59,4255.0,2014
Kepler-235d,,0.183,20.060548,0.122,,transit,1410.0,0.59,4255.0,2014
Kepler-235e,,0.198,46.183669,0.213,,transit,1410.0,0.59,4255.0,2014
Kepler-236b,,0.14,8.295611,0.065,,transit,949.0,0.56,3750.0,2014
Kepler-236c,,0.178,23.968127,0.132,,transit,949.0,0.56,3750.0,2014
Kepler-237b,,0.126,4.715106,0.05,,transit,2180.0,0.7,4861.0,2014
Kepler-237c,,0.186,8.103636,0.071,,transit,2180.0,0.7,4861.0,2014
Kepler-238b,,0.154,2.090876,0.034,,transit,6200.0,1.06,5751.0,2014
Kepler-238c,,0.213,6.155557,0.069,,transit,6200.0,1.06,5751.0,2014
Kepler-238d,,0.274,13.233549,0.115,,transit,6200.0,1.06,5751.0,2014
Kepler-239b,,0.208,11.763051,0.095,,transit,2150.0,0.74,4914.0,2014
Kepler-239c,,0.224,56.228098,0.268,,transit,2150.0,0.74,4914.0,2014
Kepler-240b,,0.122,4.144495,0.048,,transit,2480.0,,4985.0,2014
Kepler-240c,,0.196,7.953528,0.074,,transit,2480.0,,4985.0,2014
Kepler-241b,,0.208,12.718092,0.094,,transit,1980.0,,4699.0,2014
Kepler-241c,,0.229,36.065978,0.189,,transit,1980.0,,4699.0,2014
Kepler-242b,,0.233,8.20395,0.075,,transit,1990.0,,5020.0,2014
Kepler-242c,,0.178,14.496481,0.109,,transit,1990.0,,5020.0,2014
Kepler-243b,,0.219,5.715442,0.062,,transit,2300.0,0.89,5228.0,2014
Kepler-243c,,0.178,20.026218,0.142,,transit,2300.0,0.89,5228.0,2014
Kepler-244b,,0.246,4.311792,0.05,,transit,3480.0,,5554.0,2014
Kepler-244c,,0.183,9.767292,0.087,,transit,3480.0,,5554.0,2014
Kepler-244d,,0.206,20.050401,0.14,,transit,3480.0,,5554.0,2014
Kepler-245b,,0.229,7.49019,0.071,,transit,2870.0,0.8,5100.0,2014
Kepler-245c,,0.194,17.460812,0.124,,transit,2870.0,0.8,5100.0,2014
Kepler-245d,,0.27,36.277108,0.202,,transit,2870.0,0.8,5100.0,2014
Kepler-246b,,0.209,4.60182,0.052,,transit,2070.0,0.86,5206.0,2014
Kepler-246c,,0.134,11.187161,0.095,,transit,2070.0,0.86,5206.0,2014
Kepler-247b,,0.146,3.33616,0.042,,transit,2200.0,,5100.0,2014
Kepler-247c,,0.365,9.439452,0.084,,transit,2200.0,,5100.0,2014
Kepler-247d,,0.352,20.477912,0.14,,transit,2200.0,,5100.0,2014
Kepler-248b,,0.269,6.308205,0.066,,transit,2460.0,,5190.0,2014
Kepler-248c,,0.363,16.239494,0.123,,transit,2460.0,,5190.0,2014
Kepler-249b,,0.097,3.306539,0.035,,transit,624.0,,3568.0,2014
Kepler-249c,,0.135,7.113702,0.058,,transit,624.0,,3568.0,2014
Kepler-249d,,0.14,15.368459,0.097,,transit,624.0,,3568.0,2014
Kepler-250b,,0.101,4.148141,0.048,,transit,2530.0,0.8,5160.0,2014
Kepler-250c,,0.203,7.156804,0.069,,transit,2530.0,0.8,5160.0,2014
Kepler-250d,,0.194,17.648312,0.127,,transit,2530.0,0.8,5160.0,2014
Kepler-251b,,0.119,4.790936,0.053,,transit,3090.0,0.91,5526.0,2014
Kepler-251c,,0.247,16.514043,0.122,,transit,3090.0,0.91,5526.0,2014
Kepler-251d,,0.247,30.133001,0.182,,transit,3090.0,0.91,5526.0,2014
Kepler-251e,,0.247,99.640161,0.404,,transit,3090.0,0.91,5526.0,2014
Kepler-252b,,0.11,6.668391,0.058,,transit,1251.0,0.52,4208.0,2014
Kepler-252c,,0.192,10.848463,0.08,,transit,1251.0,0.52,4208.0,2014
Kepler-253b,,0.145,3.783986,0.046,,transit,2800.0,,5208.0,2014
Kepler-253c,,0.236,10.281951,0.089,,transit,2800.0,,5208.0,2014
Kepler-253d,,0.283,18.119869,0.13,,transit,2800.0,,5208.0,2014
Kepler-254b,,0.345,5.826662,0.064,,transit,4700.0,,5957.0,2014
Kepler-254c,,0.192,12.412183,0.105,,transit,4700.0,,5957.0,2014
Kepler-254d,,0.223,18.746477,0.139,,transit,4700.0,,5957.0,2014
Kepler-255b,,0.138,5.714606,0.063,,transit,3530.0,0.97,5573.0,2014
Kepler-255c,,0.267,9.946047,0.092,,transit,3530.0,0.97,5573.0,2014
Kepler-256b,,0.142,1.620493,0.027,,transit,3440.0,1.02,5551.0,2014
Kepler-256c,,0.192,3.38802,0.045,,transit,3440.0,1.02,5551.0,2014
Kepler-256d,,0.221,5.839172,0.064,,transit,3440.0,1.02,5551.0,2014
Kepler-256e,,0.21,10.681572,0.096,,transit,3440.0,1.02,5551.0,2014
Kepler-257b,,0.233,2.382667,0.034,,transit,2600.0,,5180.0,2014
Kepler-257c,,0.483,6.581484,0.066,,transit,2600.0,,5180.0,2014
Kepler-257d,,0.442,24.664551,0.16,,transit,2600.0,,5180.0,2014
Kepler-258b,,0.362,13.19722,0.103,,transit,1900.0,0.8,4942.0,2014
Kepler-258c,,0.322,33.653079,0.193,,transit,1900.0,0.8,4942.0,2014
Kepler-259b,,0.25,8.115317,0.079,,transit,3360.0,,5938.0,2014
Kepler-259c,,0.241,36.924931,0.217,,transit,3360.0,,5938.0,2014
Kepler-260b,,0.179,8.187399,0.075,,transit,2080.0,0.88,5250.0,2014
Kepler-260c,,0.155,76.050178,0.332,,transit,2080.0,0.88,5250.0,2014
Kepler-261b,,0.194,10.381227,0.088,,transit,1044.0,0.87,5098.0,2014
Kepler-261c,,0.178,24.570858,0.156,,transit,1044.0,0.87,5098.0,2014
Kepler-262b,,0.121,13.060855,0.108,,transit,2030.0,,5841.0,2014
Kepler-262c,,0.146,21.853722,0.152,,transit,2030.0,,5841.0,2014
Kepler-263b,,0.238,16.568087,0.12,,transit,2510.0,,5265.0,2014
Kepler-263c,,0.22,47.332773,0.242,,transit,2510.0,,5265.0,2014
Kepler-264b,,0.297,40.806231,0.249,,transit,3150.0,1.32,6158.0,2014
Kepler-264c,,0.252,140.101261,0.566,,transit,3150.0,1.32,6158.0,2014
Kepler-265b,,0.166,6.846262,0.069,,transit,4330.0,1.03,5835.0,2014
Kepler-265c,,0.235,17.028937,0.127,,transit,4330.0,1.03,5835.0,2014
Kepler-265d,,0.222,43.130617,0.236,,transit,4330.0,1.03,5835.0,2014
Kepler-265e,,0.231,67.831024,0.319,,transit,4330.0,1.03,5835.0,2014
Kepler-266b,,0.221,6.61833,0.071,,transit,4640.0,0.99,5885.0,2014
Kepler-266c,,0.347,107.723601,0.457,,transit,4640.0,0.99,5885.0,2014
Kepler-267b,,0.177,3.353728,0.037,,transit,870.0,0.56,4258.0,2014
Kepler-267c,,0.19,6.87745,0.06,,transit,870.0,0.56,4258.0,2014
Kepler-267d,,0.203,28.464515,0.154,,transit,870.0,0.56,4258.0,2014
Kepler-268b,,0.227,25.934138,0.18,,transit,2840.0,,6081.0,2014
Kepler-268c,,0.302,83.446393,0.391,,transit,2840.0,,6081.0,2014
Kepler-269b,,0.22,5.326718,0.061,,transit,7900.0,0.98,5847.0,2014
Kepler-269c,,0.151,8.127899,0.081,,transit,7900.0,0.98,5847.0,2014
Kepler-270b,,0.179,11.476094,0.107,,transit,3180.0,,6067.0,2014
Kepler-270c,,0.158,25.262887,0.18,,transit,3180.0,,6067.0,2014
Kepler-271b,,0.079,5.217738,0.056,,transit,1334.0,,5524.0,2014
Kepler-271c,,0.089,7.410935,0.071,,transit,1334.0,,5524.0,2014
Kepler-272b,,0.128,2.971353,0.038,,transit,2970.0,0.79,5297.0,2014
Kepler-272c,,0.16,6.057342,0.061,,transit,2970.0,0.79,5297.0,2014
Kepler-272d,,0.201,10.937304,0.091,,transit,2970.0,0.79,5297.0,2014
Kepler-273b,,0.134,2.936532,0.037,,transit,2370.0,,5626.0,2014
Kepler-273c,,0.177,8.014927,0.073,,transit,2370.0,,5626.0,2014
Kepler-274b,,0.137,11.634788,0.101,,transit,4510.0,,6023.0,2014
Kepler-274c,,0.164,33.197861,0.204,,transit,4510.0,,6023.0,2014
Kepler-275b,,0.209,10.300682,0.098,,transit,7000.0,1.24,6165.0,2014
Kepler-275c,,0.302,16.088134,0.132,,transit,7000.0,1.24,6165.0,2014
Kepler-275d,,0.297,35.676062,0.224,,transit,7000.0,1.24,6165.0,2014
Kepler-276b,,0.256,14.12841,0.119,,transit,3850.0,1.1,6105.0,2014
Kepler-278b,,0.363,30.160546,0.207,,transit,1460.0,,4991.0,2014
Kepler-278c,,0.32,51.078775,0.294,,transit,1460.0,,4991.0,2014
Kepler-280b,,0.129,2.139542,0.032,,transit,2600.0,0.91,5744.0,2014
Kepler-280c,,0.179,4.807091,0.056,,transit,2600.0,0.91,5744.0,2014
Kepler-281b,,0.252,14.646008,0.117,,transit,6000.0,0.98,5723.0,2014
Kepler-281c,,0.474,36.337373,0.215,,transit,6000.0,0.98,5723.0,2014
Kepler-282b,,0.09,9.220524,0.082,,transit,4530.0,0.97,5602.0,2014
Kepler-282c,,0.107,13.638723,0.106,,transit,4530.0,0.97,5602.0,2014
Kepler-283b,,0.19,11.008151,0.082,,transit,1540.0,,4351.0,2014
Kepler-283c,,0.162,92.743711,0.341,,transit,1540.0,,4351.0,2014
Kepler-284b,,0.2,12.699149,0.104,,transit,3460.0,,5615.0,2014
Kepler-284c,,0.233,37.514456,0.213,,transit,3460.0,,5615.0,2014
Kepler-285b,,0.12,2.633867,0.036,,transit,2750.0,0.85,5411.0,2014
Kepler-285c,,0.1,6.186676,0.064,,transit,2750.0,0.85,5411.0,2014
Kepler-286b,,0.111,1.796302,0.027,,transit,4100.0,,5580.0,2014
Kepler-286c,,0.122,3.468095,0.042,,transit,4100.0,,5580.0,2014
Kepler-286d,,0.119,5.914323,0.061,,transit,4100.0,,5580.0,2014
Kepler-286e,,0.158,29.221289,0.176,,transit,4100.0,,5580.0,2014
Kepler-287b,,0.208,20.342199,0.145,,transit,2790.0,,5806.0,2014
Kepler-287c,,0.291,44.851896,0.246,,transit,2790.0,,5806.0,2014
Kepler-288b,,0.149,6.097326,0.065,,transit,4030.0,0.89,5918.0,2014
Kepler-288c,,0.254,19.305772,0.14,,transit,4030.0,0.89,5918.0,2014
Kepler-288d,,0.238,56.633742,0.287,,transit,4030.0,0.89,5918.0,2014
Kepler-289b,0.023,0.192,34.545,0.21,,transit,2340.0,1.08,5990.0,2014
Kepler-289c,0.42,1.034,125.8518,0.51,,transit,2340.0,1.08,5990.0,2014
Kepler-289d,0.013,0.239,66.0634,0.33,,transit,2340.0,1.08,5990.0,2014
Kepler-290b,,0.201,14.589347,0.11,,transit,2310.0,,5147.0,2014
Kepler-290c,,0.241,36.77031,0.205,,transit,2310.0,,5147.0,2014
Kepler-291b,,0.193,3.546511,0.047,,transit,6100.0,1.03,6002.0,2014
Kepler-291c,,0.168,5.700786,0.065,,transit,6100.0,1.03,6002.0,2014
Kepler-292b,,0.118,2.580827,0.035,,transit,3540.0,0.88,5299.0,2014
Kepler-292c,,0.131,3.715335,0.045,,transit,3540.0,0.88,5299.0,2014
Kepler-292d,,0.199,7.055679,0.068,,transit,3540.0,0.88,5299.0,2014
Kepler-292e,,0.238,11.97901,0.097,,transit,3540.0,0.88,5299.0,2014
Kepler-292f,,0.21,20.834237,0.141,,transit,3540.0,0.88,5299.0,2014
Kepler-293b,,0.274,19.254196,0.144,,transit,3260.0,1.01,5804.0,2014
Kepler-293c,,0.342,54.155743,0.286,,transit,3260.0,1.01,5804.0,2014
Kepler-294b,,0.158,3.701212,0.048,,transit,4600.0,,5913.0,2014
Kepler-294c,,0.242,6.6264,0.071,,transit,4600.0,,5913.0,2014
Kepler-295b,,0.109,12.645164,0.099,,transit,5800.0,,5603.0,2014
Kepler-295c,,0.104,21.526258,0.142,,transit,5800.0,,5603.0,2014
Kepler-295d,,0.121,33.884054,0.192,,transit,5800.0,,5603.0,2014
Kepler-296b,,0.144,10.864384,0.079,,transit,740.0,0.5,3740.0,2014
Kepler-296c,,0.178,5.8416366,0.0521,,transit,740.0,0.5,3740.0,2014
Kepler-296d,,0.186,19.850291,0.118,,transit,740.0,0.5,3740.0,2014
Kepler-296e,,0.136,34.14211,0.169,,transit,740.0,0.5,3740.0,2014
Kepler-296f,,0.161,63.33627,0.255,,transit,740.0,0.5,3740.0,2014
Kepler-297b,,0.256,38.871826,0.217,,transit,2300.0,,5619.0,2014
Kepler-297c,,0.583,74.920137,0.336,,transit,2300.0,,5619.0,2014
Kepler-298b,,0.175,10.475464,0.08,,transit,1710.0,0.65,4465.0,2014
Kepler-298c,,0.172,22.92881,0.136,,transit,1710.0,0.65,4465.0,2014
Kepler-298d,,0.223,77.473633,0.305,,transit,1710.0,0.65,4465.0,2014
Kepler-299b,,0.118,2.927128,0.04,,transit,3530.0,0.97,5617.0,2014
Kepler-299c,,0.236,6.885875,0.07,,transit,3530.0,0.97,5617.0,2014
Kepler-299d,,0.166,15.054786,0.118,,transit,3530.0,0.97,5617.0,2014
Kepler-299e,,0.167,38.285489,0.22,,transit,3530.0,0.97,5617.0,2014
Kepler-300b,,0.149,10.446347,0.094,,transit,3690.0,0.94,5986.0,2014
Kepler-300c,,0.201,40.714955,0.232,,transit,3690.0,0.94,5986.0,2014
Kepler-301b,,0.12,2.508553,0.036,,transit,2390.0,0.91,5815.0,2014
Kepler-301c,,0.12,5.419026,0.06,,transit,2390.0,0.91,5815.0,2014
Kepler-301d,,0.156,13.751243,0.112,,transit,2390.0,0.91,5815.0,2014
Kepler-302b,,0.362,30.184104,0.193,,transit,4760.0,,5740.0,2014
Kepler-302c,,1.111,127.282184,0.503,,transit,4760.0,,5740.0,2014
Kepler-303b,,0.079,1.937055,0.024,,transit,688.0,0.59,3944.0,2014
Kepler-303c,,0.102,7.061149,0.057,,transit,688.0,0.59,3944.0,2014
Kepler-304b,,0.255,3.295709,0.039,,transit,1435.0,0.8,4731.0,2014
Kepler-304c,,0.194,5.315946,0.054,,transit,1435.0,0.8,4731.0,2014
Kepler-304d,,0.245,9.653471,0.08,,transit,1435.0,0.8,4731.0,2014
Kepler-305d,,0.242,16.738661,0.121,,transit,2900.0,0.76,5100.0,2014
Kepler-306b,,0.136,4.646186,0.05,,transit,2580.0,0.82,4954.0,2014
Kepler-306c,,0.21,7.240193,0.067,,transit,2580.0,0.82,4954.0,2014
Kepler-306d,,0.22,17.326644,0.12,,transit,2580.0,0.82,4954.0,2014
Kepler-306e,,0.203,44.840975,0.227,,transit,2580.0,0.82,4954.0,2014
Kepler-308b,,0.189,9.694928,0.09,,transit,4500.0,,5895.0,2014
Kepler-308c,,0.193,15.38231,0.123,,transit,4500.0,,5895.0,2014
Kepler-309b,,0.139,5.923653,0.059,,transit,1804.0,,4713.0,2014
Kepler-309c,,0.224,105.356383,0.401,,transit,1804.0,,4713.0,2014
Kepler-310b,,0.106,13.930698,0.111,,transit,1990.0,0.85,5797.0,2014
Kepler-310c,,0.302,56.47542,0.281,,transit,1990.0,0.85,5797.0,2014
Kepler-310d,,0.22,92.876125,0.392,,transit,1990.0,0.85,5797.0,2014
Kepler-311b,,0.152,9.176092,0.087,,transit,2590.0,1.06,5905.0,2014
Kepler-311c,,0.128,19.738286,0.145,,transit,2590.0,1.06,5905.0,2014
Kepler-312b,,0.115,1.772419,0.031,,transit,2660.0,1.23,6115.0,2014
Kepler-312c,,0.281,19.747412,0.153,,transit,2660.0,1.23,6115.0,2014
Kepler-313b,,0.226,14.970418,0.125,,transit,3500.0,0.9,5727.0,2014
Kepler-313c,,0.229,32.273273,0.208,,transit,3500.0,0.9,5727.0,2014
Kepler-314b,,0.074,2.461069,0.035,,transit,883.0,1.02,5378.0,2014
Kepler-314c,,0.259,5.960392,0.064,,transit,883.0,1.02,5378.0,2014
Kepler-315b,,0.336,96.101141,0.402,,transit,3910.0,0.78,5796.0,2014
Kepler-315c,,0.37,265.469335,0.791,,transit,3910.0,0.78,5796.0,2014
Kepler-316b,,0.095,2.240508,0.027,,transit,1269.0,0.53,4204.0,2014
Kepler-316c,,0.103,6.827766,0.058,,transit,1269.0,0.53,4204.0,2014
Kepler-317b,,0.186,5.524242,0.061,,transit,3150.0,0.95,5497.0,2014
Kepler-317c,,0.153,8.77501,0.083,,transit,3150.0,0.95,5497.0,2014
Kepler-318b,,0.42,4.662715,0.056,,transit,1618.0,1.05,5746.0,2014
Kepler-318c,,0.328,11.815007,0.105,,transit,1618.0,1.05,5746.0,2014
Kepler-319b,,0.145,4.362705,0.051,,transit,1666.0,1.29,5526.0,2014
Kepler-319c,,0.235,6.941357,0.069,,transit,1666.0,1.29,5526.0,2014
Kepler-319d,,0.204,31.781925,0.191,,transit,1666.0,1.29,5526.0,2014
Kepler-320b,,0.102,8.371554,0.085,,transit,2760.0,,6435.0,2014
Kepler-320c,,0.122,17.934937,0.142,,transit,2760.0,,6435.0,2014
Kepler-321b,,0.158,4.915379,0.057,,transit,1268.0,1.01,5740.0,2014
Kepler-321c,,0.207,13.093921,0.11,,transit,1268.0,1.01,5740.0,2014
Kepler-322b,,0.09,1.653888,0.027,,transit,1321.0,0.91,5388.0,2014
Kepler-322c,,0.149,4.337234,0.051,,transit,1321.0,0.91,5388.0,2014
Kepler-323b,,0.128,1.678327,0.028,,transit,1500.0,1.09,5987.0,2014
Kepler-323c,,0.145,3.553822,0.046,,transit,1500.0,1.09,5987.0,2014
Kepler-324b,,0.102,4.385315,0.05,,transit,1659.0,0.86,5194.0,2014
Kepler-324c,,0.281,51.805612,0.26,,transit,1659.0,0.86,5194.0,2014
Kepler-325b,,0.26,4.544439,0.053,,transit,2740.0,0.87,5752.0,2014
Kepler-325c,,0.227,12.762172,0.105,,transit,2740.0,0.87,5752.0,2014
Kepler-325d,,0.249,38.715185,0.22,,transit,2740.0,0.87,5752.0,2014
Kepler-326b,,0.136,2.248329,0.032,,transit,1610.0,0.98,5105.0,2014
Kepler-326c,,0.125,4.580358,0.051,,transit,1610.0,0.98,5105.0,2014
Kepler-326d,,0.108,6.766888,0.066,,transit,1610.0,0.98,5105.0,2014
Kepler-327b,,0.099,2.549575,0.029,,transit,794.0,0.55,3799.0,2014
Kepler-327c,,0.092,5.212333,0.047,,transit,794.0,0.55,3799.0,2014
Kepler-327d,,0.154,13.969457,0.09,,transit,794.0,0.55,3799.0,2014
Kepler-329b,,0.125,7.416397,0.061,,transit,1450.0,0.53,4257.0,2014
Kepler-329c,,0.172,18.684737,0.113,,transit,1450.0,0.53,4257.0,2014
Kepler-330b,,0.12,8.25978,0.075,,transit,2380.0,0.78,5117.0,2014
Kepler-330c,,0.174,15.955387,0.116,,transit,2380.0,0.78,5117.0,2014
Kepler-331b,,0.162,8.457496,0.065,,transit,1920.0,0.51,4347.0,2014
Kepler-331c,,0.164,17.28111,0.105,,transit,1920.0,0.51,4347.0,2014
Kepler-331d,,0.146,32.134328,0.159,,transit,1920.0,0.51,4347.0,2014
Kepler-332b,,0.104,7.626324,0.07,,transit,1133.0,0.8,4955.0,2014
Kepler-332c,,0.097,15.995622,0.114,,transit,1133.0,0.8,4955.0,2014
Kepler-332d,,0.105,34.21154,0.189,,transit,1133.0,0.8,4955.0,2014
Kepler-333b,,0.118,12.551158,0.087,,transit,1068.0,0.54,4259.0,2014
Kepler-333c,,0.099,24.08821,0.135,,transit,1068.0,0.54,4259.0,2014
Kepler-334b,,0.1,5.470319,0.061,,transit,1408.0,1.0,5828.0,2014
Kepler-334c,,0.128,12.758005,0.107,,transit,1408.0,1.0,5828.0,2014
Kepler-334d,,0.126,25.09849,0.168,,transit,1408.0,1.0,5828.0,2014
Kepler-335b,,0.302,6.562331,0.075,,transit,4320.0,0.99,5877.0,2014
Kepler-335c,,0.274,67.844469,0.356,,transit,4320.0,0.99,5877.0,2014
Kepler-336b,,0.091,2.024823,0.033,,transit,8000.0,0.89,5867.0,2014
Kepler-336c,,0.187,9.600001,0.092,,transit,8000.0,0.89,5867.0,2014
Kepler-336d,,0.211,20.678772,0.154,,transit,8000.0,0.89,5867.0,2014
Kepler-337b,,0.137,3.292781,0.045,,transit,2250.0,0.96,5684.0,2014
Kepler-337c,,0.183,9.693201,0.093,,transit,2250.0,0.96,5684.0,2014
Kepler-338b,,0.218,13.726976,0.117,,transit,1830.0,1.1,5923.0,2014
Kepler-338c,,0.209,24.310856,0.172,,transit,1830.0,1.1,5923.0,2014
Kepler-338d,,0.268,44.431014,0.257,,transit,1830.0,1.1,5923.0,2014
Kepler-338e,0.027,0.139,9.341,,,timing,1830.0,1.1,5923.0,2014
Kepler-339b,,0.127,4.977656,0.055,,transit,2040.0,0.84,5631.0,2014
Kepler-339c,,0.103,6.988055,0.069,,transit,2040.0,0.84,5631.0,2014
Kepler-339d,,0.104,10.558345,0.091,,transit,2040.0,0.84,5631.0,2014
Kepler-340b,,0.226,14.844387,0.134,,transit,2690.0,2.11,6620.0,2014
Kepler-340c,,0.301,22.824669,0.178,,transit,2690.0,2.11,6620.0,2014
